iter	Passed	Remaining
0	1	123
1	2	111
2	3	118
3	5	120
4	6	115
5	7	111
6	8	108
7	9	105
8	10	103
9	11	100
10	12	98
11	13	96
12	14	94
13	15	93
14	16	91
15	17	89
16	18	89
17	19	89
18	20	87
19	21	86
20	22	84
21	23	83
22	24	81
23	25	80
24	26	79
25	27	78
26	28	76
27	29	75
28	30	74
29	31	73
30	32	71
31	33	71
32	34	70
33	35	68
34	36	67
35	37	66
36	38	65
37	39	64
38	40	63
39	41	62
40	42	61
41	42	59
42	43	58
43	44	57
44	45	55
45	46	54
46	47	53
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	44
56	58	43
57	59	42
58	60	41
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	100	2
98	101	1
99	102	0
